Archivo;Tamaño(K);Cant Palabras Inicial;Cant Palabras depuradas;Vocabulario Inicial;Vocabulario Final
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1211.6470.txt;52;8895;8895;1821;1122
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1212.1095.txt;118;22489;22489;1847;1097
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1212.1149.txt;15;3069;3069;573;357
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1212.1710.txt;171;25285;25285;2619;1377
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1212.6751.txt;41;7849;7849;1210;772
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1212.6879.txt;58;12674;12674;1057;675
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.1027.txt;41;8152;8152;1387;915
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.1071.txt;30;5583;5583;1128;731
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.1107.txt;45;8183;8183;1361;845
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.2158.txt;45;7019;7019;1513;898
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.2959.txt;31;6477;6477;1098;646
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.3605.txt;25;4240;4240;1056;675
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.5055.txt;78;15600;15600;1259;717
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.5293.txt;17;3319;3319;822;513
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.5522.txt;44;8486;8486;1246;770
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1301.7023.txt;20;3757;3757;860;545
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1302.1211.txt;16;3462;3462;541;347
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1302.2279.txt;27;5302;5302;766;468
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1302.4118.txt;16;2959;2959;830;556
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1302.4808.txt;69;12031;12031;1583;908
E:\OneDrive - CELSIA S.A E.S.P\Maestría\Almacenamiento\Tika\Tika\limpiados\1302.5906.txt;34;6544;6544;1158;753
